Unnamed: 0,hsa-mir-210,hsa-mir-205,hsa-mir-708,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-137,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-22-5477-01,13533,58718,1814,202713,388,77,248,72,254991,827,39,0,0,134,0,3,2,0
TCGA-22-5478-01,7294,34266,746,78442,157,24,85,40,75968,810,21,43,0,0,0,0,0,0
TCGA-22-5480-01,3663,24161,278,18586,71,13,47,5,42205,454,15,0,4,85,1,1,1,0
TCGA-22-5482-01,16019,59273,1040,29455,58,151,292,10,35873,300,10,1,0,0,0,15,0,0
TCGA-22-5483-01,2777,7572,633,327778,356,86,1571,5,401431,682,27,9,0,1,2,0,3,0
TCGA-22-5485-01,10437,46692,606,64701,76,57,18,18,53460,619,24,0,0,0,0,1,0,0
TCGA-22-5489-01,11996,48474,1207,40993,108,13,140,5,103045,1026,65,1,1,7,0,0,1,0
TCGA-22-5491-01,9226,40833,3122,59978,125,30,39,12,98739,388,23,0,0,1,0,0,0,0
TCGA-22-5492-01,16650,43629,873,76603,207,149,76,9,146955,1226,74,5,0,0,0,1,0,0
TCGA-22-A5C4-01,3794,32119,747,91627,183,355,229,41,262520,2965,70,14,0,0,0,0,0,0
TCGA-33-4532-01,9634,22857,856,63622,74,31,81,42,56520,631,23,1,0,0,0,0,0,0
TCGA-33-4533-01,7785,5036,1691,13740,26,270,163,31,23587,2596,53,30,19,76,0,0,3,0
TCGA-33-4538-01,2409,8523,467,11995,29,23,440,7,16725,332,12,0,0,1,0,0,0,0
TCGA-33-4547-01,4297,21725,2330,31269,48,20,237,9,55462,723,16,1,0,0,0,0,0,0
TCGA-33-4566-01,753,7348,77,8099,27,2,69,4,14288,483,13,4,0,0,0,0,0,0
TCGA-33-4582-01,3569,18320,697,23191,40,5,374,12,26804,286,7,2,1,0,0,0,0,0
TCGA-33-4583-01,6552,22773,399,8839,28,282,30,4,19900,403,5,0,0,0,0,8,0,0
TCGA-33-4586-01,4344,44341,380,24421,46,3,13,1,38863,256,2,0,0,0,1,0,0,0
TCGA-33-4587-01,28622,2103,8047,327223,557,152,84,27,428870,420,17,1,0,1,4,0,0,0
TCGA-33-4589-01,3336,14987,348,6955,8,1084,223,2,13378,237,13,0,0,0,0,0,0,0
TCGA-33-6737-01,1466,4152,77,120107,92,299,187,4,132025,9404,9,0,0,0,0,0,1,0
TCGA-33-6738-01,9972,140204,670,143946,228,11,861,22,225993,5820,17,0,0,0,0,0,0,0
TCGA-33-A4WN-01,6058,59770,1532,24397,85,20,347,5,45436,773,11,1,0,1,1,0,0,0
TCGA-33-A5GW-01,9797,94810,1675,43620,178,199,141,6,166857,1714,10,9,1,2,1,1,0,0
TCGA-33-AAS8-01,19407,84549,2942,101975,400,1,2422,32,135461,1628,26,0,0,0,1,60,0,1
TCGA-33-AASB-01,12020,6472,755,132208,435,251,95,11,168914,2050,39,1,0,5,2,0,1,1
TCGA-33-AASD-01,24020,106615,2724,68773,189,1011,707,21,91370,954,29,2,1,0,0,0,0,0
TCGA-33-AASI-01,1523,85852,718,49693,175,892,130,16,71754,1961,34,1,0,1,0,0,0,0
TCGA-33-AASJ-01,15130,72450,5546,35697,166,92,985,22,39269,1241,34,2,2,1,0,0,0,0
TCGA-33-AASL-01,10374,60403,2152,91033,338,94,711,12,160254,6333,79,9,6,0,1,3,347,0
TCGA-34-2596-01,2291,16671,667,65763,176,31,954,2,111852,1438,14,5,0,2,0,21,0,0
TCGA-34-2600-01,4594,41693,325,123591,210,5,2306,39,223426,465,27,0,0,0,0,3,0,0
TCGA-34-5234-01,7711,40176,2469,39125,105,1138,1016,12,84845,5595,226,1,0,0,4,0,0,0
TCGA-34-5240-01,6708,20140,2224,95599,177,295,61,5,190577,399,22,0,0,12,0,10,0,0
TCGA-34-5241-01,2745,7559,747,18366,16,27,295,6,28856,1205,10,12,0,0,0,0,0,0
TCGA-34-5927-01,7733,67412,1366,442809,300,91,49,28,744137,491,3,4,0,4,0,0,0,0
TCGA-34-5928-01,2365,54672,576,105648,68,57,36,16,121425,419,14,6,0,4,0,0,0,0
TCGA-34-5929-01,3042,120443,386,294441,352,10,46,25,534446,421,15,2,0,2,1,0,0,0
TCGA-34-7107-01,11530,86889,2416,36916,59,18,361,12,43788,1084,18,0,0,0,0,0,0,0
TCGA-34-8454-01,5834,41930,569,22690,15,3,86,7,31522,1133,14,5,0,0,0,0,0,0
TCGA-34-8455-01,12663,69195,1709,22051,28,778,241,8,35331,2712,7,0,0,0,1,0,0,0
TCGA-34-A5IX-01,5633,63025,873,49075,223,79,245,11,189483,4636,13,136,3,0,0,0,1,1
TCGA-37-3783-01,11824,82655,396,24854,22,87,120,4,18975,1733,98,5,0,0,0,0,1,0
TCGA-37-3792-01,3364,2595,40,8487,66,1284,126,0,17991,1139,36,134,0,0,42,0,0,3
TCGA-37-4130-01,1574,57,39,5857,10,6,111,2,13995,270,17,1,0,0,15874,0,2756,2294
TCGA-37-4133-01,4368,44074,2398,65392,101,208,225,13,102530,253,22,5,0,0,5,0,1,0
TCGA-37-4135-01,11375,4375,751,35700,64,127,128,21,76451,267,14,1,0,0,3,0,1,0
TCGA-37-5819-01,6191,716,263,50482,90,82,28,57,53519,319,69,0,0,0,0,0,0,3
TCGA-37-A5EL-01,15736,25271,462,18480,131,79,191,1,76590,1302,29,13,0,0,0,0,1,0
TCGA-37-A5EM-01,3145,42083,1586,65987,145,75,93,12,200703,1241,23,24,0,0,0,0,2,0
TCGA-37-A5EN-01,4052,43562,2514,32368,107,10,275,17,91286,1891,15,2,1,31,3,0,0,0
TCGA-39-5011-01,4729,9335,381,57239,104,127,224,17,82409,954,147,49,0,0,0,0,0,0
TCGA-39-5019-01,4352,40635,1909,160782,164,26,1220,8,185229,1595,48,5,1,0,1,0,0,1
TCGA-39-5021-01,1780,8478,469,23229,37,25,61,7,24023,260,12,0,0,1,0,0,0,0
TCGA-39-5028-01,2955,24775,361,9918,17,263,117,2,16932,381,9,3,0,0,0,0,0,0
TCGA-39-5029-01,4589,6946,691,19161,26,95,78,6,27537,497,8,0,0,0,0,0,0,3
TCGA-39-5030-01,1438,19107,805,25354,73,29,81,1,59525,373,21,0,0,9,0,0,0,0
TCGA-39-5031-01,4229,7191,2227,48981,67,30,209,25,57484,1787,19,2,0,12,1,0,2,0
TCGA-39-5034-01,2074,156,537,20471,37,37,123,12,29887,124,22,0,0,0,0,0,0,0
TCGA-39-5035-01,1638,13685,425,50281,178,2093,287,3,144279,525,21,0,0,0,0,0,0,0
TCGA-39-5036-01,4913,13857,737,24268,36,63,165,15,37157,637,4,0,6,0,0,1,1,0
TCGA-39-5037-01,4249,41355,1810,17025,72,5,591,40,21368,566,7,0,1,1,0,1,0,0
TCGA-39-5039-01,1985,11962,517,10658,17,141,61,3,19070,901,4,5,0,0,0,0,0,0
TCGA-43-2576-01,4017,784,730,35827,68,45,207,3,63634,482,23,11,2,0,30,0,0,24
TCGA-43-2578-01,5294,8513,415,218260,204,284,249,66,165140,1680,31,4,0,0,0,0,3,1
TCGA-43-2581-01,1418,55,504,39627,62,53,217,15,56271,790,28,4,0,0,11,1,2,0
TCGA-43-3394-01,37097,30854,2075,90247,465,25,169,14,150798,1378,57,7,0,2,0,0,0,2
TCGA-43-3920-01,6303,12649,641,13884,33,73,106,11,19203,146,40,18,0,0,0,0,0,0
TCGA-43-5668-01,3510,214,653,22626,75,2,158,19,50156,35096,87,43,0,0,3,0,0,1
TCGA-43-6143-01,7262,88930,569,118923,109,330,1394,33,157348,332,44,0,0,68,0,0,0,0
TCGA-43-6647-01,1513,48379,710,104969,53,12,174,8,123556,780,12,12,0,0,1,0,0,0
TCGA-43-6770-01,3107,46480,700,96790,31,8,186,19,95938,209,11,2,1,141,0,0,0,0
TCGA-43-6771-01,5126,115854,644,14794,15,1,251,1,31828,361,22,3,1,0,2,0,0,0
TCGA-43-7656-01,4592,42031,883,27967,98,29,153,13,50629,528,25,3,0,0,0,0,0,0
TCGA-43-7658-01,13156,1030,728,16194,103,49,644,17,40341,1841,8,1,0,0,0,1,0,0
TCGA-43-8115-01,8948,25055,5124,76310,194,77,1903,48,121432,1348,105,10,1902,1,0,0,0,0
TCGA-43-8116-01,6838,87966,809,37762,110,21,144,15,61822,1013,19,4,1,3,0,1,0,0
TCGA-43-8118-01,16151,24106,1501,23337,39,11,205,15,30242,3935,22,1,0,0,0,1,1,0
TCGA-43-A474-01,14281,110623,2942,108217,226,429,599,36,180922,2392,32,28,0,0,0,0,0,0
TCGA-43-A475-01,3868,64395,1319,12044,50,47,1088,11,28953,2249,47,0,0,2,0,7,0,0
TCGA-43-A56U-01,8701,24032,1341,41788,162,69,1626,24,90930,2689,21,54,2,0,1,1,0,1
TCGA-46-3765-01,7770,7423,257,6802,15,5,64,20,8573,130,16,0,0,0,0,0,0,0
TCGA-46-3766-01,2844,3976,214,6379,12,50,42,0,11847,374,23,2,0,0,1,0,0,0
TCGA-46-3767-01,1585,4006,275,8856,8,11,54,1,20541,300,10,1,0,0,0,0,0,0
TCGA-46-3768-01,4191,11437,572,71403,136,5,103,13,67823,308,47,0,0,2,0,0,0,0
TCGA-46-3769-01,821,2845,292,6419,59,237,98,5,13683,336,67,25,0,0,1,0,0,1
TCGA-46-6025-01,3049,53736,496,36102,58,546,179,8,52563,347,8,29,0,4,1,0,0,0
TCGA-46-6026-01,5355,94627,1244,93889,154,15,279,9,248493,212,8,0,1,0,2,4,1,0
TCGA-51-4079-01,6881,16111,449,27714,54,129,245,3,56319,567,9,0,0,0,0,1,0,0
TCGA-51-4080-01,3225,29208,2072,149817,205,45,703,28,203743,637,14,0,0,20,0,5,1,0
TCGA-51-4081-01,3585,13559,686,44542,59,8,113,8,61321,264,9,0,0,1,0,0,1,0
TCGA-51-6867-01,16103,142236,1674,65386,134,35,1477,39,83115,2939,16,3,1,12,0,0,0,0
TCGA-52-7622-01,7717,42815,1968,47117,109,344,818,9,69607,5481,11,0,0,2,0,1,0,0
TCGA-52-7810-01,11287,252127,1944,73578,127,130,1140,57,87156,1212,57,13,1,0,1,0,0,1
TCGA-52-7811-01,14669,44884,1416,19314,40,628,305,25,24380,3242,26,22,0,0,3,3,0,2
TCGA-52-7812-01,14546,1328,392,47900,166,7,927,13,90384,1965,40,6,0,0,8,0,0,3
TCGA-56-1622-01,5014,31091,3528,50556,88,113,188,53,66450,241,32,0,0,0,0,0,1,0
TCGA-56-5897-01,8222,18571,1007,13394,18,123,47,7,22497,524,64,2,0,0,0,0,0,0
TCGA-56-5898-01,9268,44514,1654,27532,97,47,475,13,53113,1440,47,1,0,0,0,1,0,0
TCGA-56-6545-01,1114,30248,417,20786,14,68,226,2,43372,468,47,0,1,0,1,0,0,0
TCGA-56-6546-01,1694,7473,375,95386,105,12,761,4,106802,1472,29,0,1,5,331,0,0,27
TCGA-56-7221-01,15307,93393,2400,96925,267,19,576,17,194682,2185,11,0,0,1,1,9,1,0
TCGA-56-7222-01,12364,72814,258,114507,190,416,346,39,167404,2542,14,0,0,3,0,7,0,0
TCGA-56-7223-01,13240,8466,391,121492,236,122,82,41,161189,2405,48,5,0,142,0,1,0,1
TCGA-56-7579-01,8242,199597,4514,100439,303,93,110,66,167790,2259,31,5,4,0,0,0,0,1
TCGA-56-7582-01,7204,55978,3120,52168,129,63,180,4,91682,549,13,1,1,0,1,0,0,0
TCGA-56-7822-01,11295,81841,1803,14487,35,578,80,5,23643,1168,9,17,0,1,0,0,0,0
TCGA-56-8201-01,2559,22845,697,11650,28,52,124,49,17299,1364,34,2,0,1,0,0,0,0
TCGA-56-8304-01,14941,43449,4171,36534,72,292,922,26,38290,851,6,5,0,0,0,0,0,0
TCGA-56-8305-01,28090,91716,5261,62852,155,6,346,34,124674,1661,28,6,1,1,15,0,0,25
TCGA-56-8307-01,3596,95011,2921,264963,497,1,112,38,460743,1021,26,0,0,14,1,1,0,1
TCGA-56-8308-01,1925,18517,804,19492,25,17,318,7,26446,218,2,0,2,0,0,0,0,0
TCGA-56-8309-01,2917,19690,448,19813,45,10,124,2,47001,654,9,9,1,0,0,0,0,0
TCGA-56-8503-01,4961,32022,2280,14870,14,170,81,6,19805,2171,33,1,0,0,2,0,0,1
TCGA-56-8504-01,7688,33130,1233,39641,28,53,602,22,35041,1095,22,0,0,0,0,0,0,0
TCGA-56-8622-01,6825,97116,755,29636,60,85,111,5,58654,1243,2,2,1,0,0,3,0,0
TCGA-56-8623-01,202,1331,122,9762,3,6,1389,3,21801,6118,4,0,1,0,0,0,0,0
TCGA-56-8624-01,4816,45369,1129,10979,44,306,280,2,32365,2014,5,5,0,0,1,6,0,0
TCGA-56-8625-01,24845,7211,2513,39823,76,51,115,32,59553,1736,62,1,0,0,0,0,3,2
TCGA-56-8626-01,8048,97332,1673,30135,95,379,1820,8,57531,3242,23,35,2,1,1,1,0,20
TCGA-56-8628-01,6979,60803,1904,79945,120,86,537,42,138713,3613,17,0,4,0,1,17,0,1
TCGA-56-8629-01,8641,54493,1053,52747,85,79,300,17,71669,1675,38,116,1,0,2,0,0,6
TCGA-56-A4BW-01,3995,52629,2078,12261,27,42,150,11,30236,1670,10,37,0,0,0,0,0,0
TCGA-56-A4BX-01,14291,59100,2557,78236,220,17,203,21,162688,593,15,1,0,0,0,0,0,0
TCGA-56-A4BY-01,20565,96002,3010,95526,218,218,1515,18,182803,2803,35,9,3,2,1,0,0,0
TCGA-56-A4ZJ-01,4582,31546,2126,21482,109,306,734,6,68297,7372,74,10,1,0,0,2,0,0
TCGA-56-A4ZK-01,20711,77094,1810,40234,92,92,175,9,75573,1407,29,3,0,0,0,0,0,0
TCGA-56-A5DR-01,2698,33773,1388,55882,158,340,218,5,247413,1602,19,3,0,0,0,0,0,0
TCGA-56-A62T-01,10213,76023,2194,158470,249,1426,925,24,205232,2938,54,60,6,17,0,0,222,0
TCGA-58-8386-01,4945,28000,1533,20359,70,459,1726,4,36491,4573,15,7,1,0,0,0,0,0
TCGA-58-8387-01,5735,21872,1727,31214,52,7,66,28,30884,823,17,0,1,7,2,0,0,0
TCGA-58-8388-01,9916,57198,380,26354,75,68,234,13,63066,1647,14,0,1,9,0,1,0,1
TCGA-58-8390-01,10991,175790,1110,149287,493,9,1545,29,381815,2943,66,5,0,0,0,1,0,0
TCGA-58-8391-01,4938,97640,1019,76875,169,2,107,14,99688,1512,19,13,0,0,0,0,0,0
TCGA-58-8392-01,23910,65234,3360,136515,127,2,676,41,133007,2161,53,3,0,11,0,0,0,0
TCGA-58-8393-01,10166,64393,1963,34239,22,354,487,7,44923,2042,27,1,0,0,0,0,0,0
TCGA-58-A46J-01,7157,51439,2762,58972,75,126,353,15,88789,6828,38,0,0,1,2,2,0,0
TCGA-58-A46K-01,9520,59349,2997,127588,303,217,135,25,217504,857,26,0,0,4,1,5,0,2
TCGA-58-A46L-01,13554,49152,2924,60458,121,8,84,7,98520,1618,38,0,0,0,0,1,0,0
TCGA-58-A46M-01,12490,41617,1144,55306,251,69,90,7,140858,1369,42,2,0,15,0,31,0,0
TCGA-58-A46N-01,8798,83576,1533,112815,284,237,687,14,163047,532,21,0,0,0,1,0,2,1
TCGA-60-2695-01,7774,1482,655,69419,211,19,384,49,142041,422,11,3,0,0,0,2,0,0
TCGA-60-2696-01,1256,20444,102,11344,28,216,604,5,22157,1234,7,6,0,0,0,0,0,0
TCGA-60-2697-01,637,1707,431,16798,35,7,411,4,33079,5195,7,2,4,0,0,0,0,0
TCGA-60-2698-01,2251,5702,1289,33830,57,406,1958,1,53988,3219,43,4,0,0,2,0,0,0
TCGA-60-2703-01,4497,43455,940,24821,20,66,1060,18,25871,2245,11,11,2,0,0,0,0,0
TCGA-60-2704-01,14941,20232,2157,33518,62,20,464,10,60687,3171,32,10,0,13,0,0,0,0
TCGA-60-2706-01,2564,3170,281,39471,74,266,441,5,41055,627,17,0,0,0,0,0,0,0
TCGA-60-2708-01,7983,28712,1099,56578,94,143,112,12,67920,430,57,29,0,0,0,0,0,0
TCGA-60-2710-01,5371,14563,1135,39887,81,1,240,15,74140,953,11,0,0,1,0,0,0,0
TCGA-60-2711-01,8108,15364,1748,61871,122,18,262,19,93673,461,24,0,0,0,0,0,0,0
TCGA-60-2712-01,3122,12004,231,6359,21,4,56,4,16543,384,21,0,0,1,16,0,2,2
TCGA-60-2713-01,7083,8736,866,21421,50,27,49,7,41910,186,11,4,0,3,1,0,0,0
TCGA-60-2714-01,6761,194,108,25511,53,5,388,11,45357,697,8,20,0,0,189,1,0,51
TCGA-60-2716-01,1498,61964,1398,17920,73,284,109,1,49831,330,2,0,0,0,0,0,1,0
TCGA-60-2719-01,7034,18280,2356,55902,80,17,356,38,62291,871,40,0,0,0,0,0,0,0
TCGA-60-2720-01,2797,18523,1368,36503,80,272,1371,7,69092,2868,33,29,2,0,1,0,0,0
TCGA-60-2721-01,3889,38414,2304,43227,86,15,107,8,85338,531,12,0,0,0,1,0,1,0
TCGA-60-2722-01,11703,59340,1176,60576,108,4,180,8,83456,409,7,0,2,0,0,4,0,0
TCGA-60-2723-01,3609,21072,933,71815,71,60,206,17,69813,1022,19,0,1,20,13,0,3,7
TCGA-60-2724-01,3446,17993,526,22362,16,194,103,24,18295,805,18,38,0,1,0,0,0,0
TCGA-60-2725-01,1973,22758,476,39142,74,13,511,3,44529,1098,16,2,0,1,0,0,0,0
TCGA-63-5128-01,9349,18898,549,46461,51,6,186,7,60644,314,3,0,0,0,0,0,0,0
TCGA-63-5131-01,3228,23957,324,19581,24,3,32,4,22463,433,0,1,0,0,0,0,0,0
TCGA-63-6202-01,2928,237,540,160238,83,12,4025,15,193108,720,56,11,1,0,565,0,0,16
TCGA-63-7020-01,36465,105966,5021,145522,371,2839,1709,19,269834,4468,71,3,8,0,2,2,2,0
TCGA-63-7021-01,12479,160082,3471,64749,135,12,620,27,87045,1458,22,4,1,0,0,0,0,0
TCGA-63-7022-01,19921,50759,4944,65775,75,168,406,27,103185,1761,69,4,4,0,4,0,41,0
TCGA-63-A5M9-01,4596,29774,1326,30042,111,116,96,14,80393,1232,11,8,0,90,0,1,0,0
TCGA-63-A5MB-01,8501,43309,2730,88005,299,10,1054,19,240072,2690,24,0,0,2,0,1,17,0
TCGA-63-A5MG-01,5336,47660,1583,39448,112,319,393,3,145403,5460,14,103,22,1,2,0,0,0
TCGA-63-A5MH-01,15652,96365,476,64946,248,80,2210,20,234282,2142,121,21,0,2,0,0,5,0
TCGA-63-A5MI-01,4344,40239,1585,54423,95,43,210,15,148982,2482,47,10,0,16,0,0,0,0
TCGA-63-A5MJ-01,3052,30624,1242,40165,168,10,618,2,169651,1087,14,2,0,0,0,0,0,0
TCGA-63-A5ML-01,3883,44392,721,69955,209,72,44,14,251880,2286,5,3,0,0,0,1,0,0
TCGA-63-A5MM-01,7602,54420,527,8621,43,912,1590,3,31838,4425,198,2,15,0,1,0,0,1
TCGA-63-A5MP-01,3444,57036,2177,57202,150,34,456,48,103762,4072,61,0,3,13,0,2,0,0
TCGA-63-A5MR-01,18116,87406,1778,16698,81,1623,120,12,66501,4163,17,5,1,0,1,0,0,0
TCGA-63-A5MS-01,6939,49085,992,17345,51,125,1043,13,40373,4430,38,3,0,0,1,0,0,0
TCGA-63-A5MT-01,2558,116607,785,21897,57,371,77,8,55721,2938,20,1,0,0,2,0,0,1
TCGA-63-A5MU-01,16986,114754,594,66102,285,1305,396,7,141166,833,14,1,0,0,0,0,0,0
TCGA-63-A5MV-01,12500,77424,5030,20661,81,54,233,39,46550,1815,38,84,1,0,0,0,0,0
TCGA-63-A5MW-01,6123,51640,982,47374,295,938,193,33,136727,1715,69,44,0,125,0,0,1,0
TCGA-63-A5MY-01,17241,110095,160,191425,473,0,272,18,358916,815,26,0,0,0,0,0,1,2
TCGA-66-2727-01,2169,19879,1316,50270,90,101,252,20,62779,639,33,2,0,0,0,1,0,0
TCGA-66-2734-01,6423,10846,242,11801,34,275,19,3,16924,438,31,9,0,0,0,0,0,0
TCGA-66-2737-01,7959,16331,692,35008,64,9,77,4,48513,290,50,0,0,32,0,0,0,0
TCGA-66-2742-01,5708,5612,543,12061,23,6,261,4,15574,169,8,27,0,0,0,0,0,0
TCGA-66-2744-01,4848,10162,1578,12932,43,654,223,17,20044,828,219,1,1,1,2,0,0,0
TCGA-66-2754-01,3590,109,83,22146,66,26,82,40,22415,43,4,6,1,0,0,0,0,0
TCGA-66-2755-01,2803,16823,424,8438,12,24,74,4,10823,583,14,0,0,11,12,0,11,1
TCGA-66-2759-01,14180,57341,579,32461,40,6,87,6,36293,382,14,0,0,0,0,0,0,0
TCGA-66-2763-01,4486,22682,2129,24148,37,149,132,12,31814,685,57,0,0,0,0,0,0,0
TCGA-66-2765-01,10842,19638,826,10624,49,160,105,11,25044,539,12,0,0,0,0,0,0,0
TCGA-66-2766-01,7728,27498,517,72819,104,73,232,16,117536,357,26,0,0,1,0,0,0,0
TCGA-66-2767-01,2643,17149,969,26011,68,22,803,7,55814,1845,15,0,0,0,0,0,0,0
TCGA-66-2768-01,4171,39612,1416,19256,31,829,448,23,27689,1714,22,1,0,0,1,0,0,0
TCGA-66-2770-01,4894,20032,485,10948,20,65,100,2,20788,544,14,0,0,0,8,1,0,0
TCGA-66-2771-01,3504,13483,912,4356,18,2,159,3,7092,521,21,0,0,0,0,0,0,0
TCGA-66-2777-01,4724,19363,1188,25768,53,102,618,9,30954,1375,20,1,0,0,0,1,0,2
TCGA-66-2780-01,4879,24418,835,32224,44,16,110,3,60524,747,7,26,0,0,0,0,0,0
TCGA-66-2781-01,3022,33523,954,48645,54,8,890,12,60514,1154,11,2,0,0,0,0,0,0
TCGA-66-2782-01,2078,40521,744,60275,127,990,66,11,105656,883,14,26,0,0,0,0,0,0
TCGA-66-2783-01,9955,43130,1585,19470,69,20,327,2,42202,334,7,0,1,0,1,0,0,0
TCGA-66-2785-01,2936,16633,210,60496,163,3,112,5,109660,2360,51,0,0,0,0,0,0,1
TCGA-66-2786-01,5911,13769,446,25003,55,232,183,5,58558,1045,18,4,0,0,0,1,0,0
TCGA-66-2787-01,3734,10107,374,41341,97,11,212,4,36876,129,29,0,1,1,0,0,0,0
TCGA-66-2788-01,7872,21524,834,17827,75,630,150,17,26735,430,62,8,0,0,0,0,0,0
TCGA-66-2789-01,3028,32407,269,42124,88,78,283,11,59102,781,61,0,0,0,0,0,0,0
TCGA-66-2790-01,5279,20424,326,18440,59,79,421,11,27569,740,39,5,0,1,26,0,0,18
TCGA-66-2791-01,3703,9082,364,14099,48,55,50,7,21573,165,12,1,0,1,0,4,0,0
TCGA-66-2792-01,8517,10596,1313,28239,52,85,182,27,25541,153,105,2,0,0,1,0,0,0
TCGA-66-2793-01,3171,22079,3647,90592,100,4,307,28,105772,431,14,6,0,0,0,0,0,0
