,hsa-mir-210,hsa-mir-205,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-486-1,hsa-mir-486-2,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-137,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-33-AASI-01,1523,85852,49693,175,892,137,142,130,16,71754,1961,34,1,0,1,0,0,0,0
TCGA-33-AASJ-01,15130,72450,35697,166,92,472,457,985,22,39269,1241,34,2,2,1,0,0,0,0
TCGA-33-AASL-01,10374,60403,91033,338,94,266,250,711,12,160254,6333,79,9,6,0,1,3,347,0
TCGA-34-2596-01,2291,16671,65763,176,31,141,127,954,2,111852,1438,14,5,0,2,0,21,0,0
TCGA-34-2600-01,4594,41693,123591,210,5,551,588,2306,39,223426,465,27,0,0,0,0,3,0,0
TCGA-34-5234-01,7711,40176,39125,105,1138,570,528,1016,12,84845,5595,226,1,0,0,4,0,0,0
TCGA-34-5240-01,6708,20140,95599,177,295,9,12,61,5,190577,399,22,0,0,12,0,10,0,0
TCGA-34-5241-01,2745,7559,18366,16,27,74,59,295,6,28856,1205,10,12,0,0,0,0,0,0
TCGA-34-5927-01,7733,67412,442809,300,91,23,19,49,28,744137,491,3,4,0,4,0,0,0,0
TCGA-34-5928-01,2365,54672,105648,68,57,26,21,36,16,121425,419,14,6,0,4,0,0,0,0
TCGA-34-5929-01,3042,120443,294441,352,10,41,40,46,25,534446,421,15,2,0,2,1,0,0,0
TCGA-34-7107-01,11530,86889,36916,59,18,374,362,361,12,43788,1084,18,0,0,0,0,0,0,0
TCGA-34-8454-01,5834,41930,22690,15,3,81,96,86,7,31522,1133,14,5,0,0,0,0,0,0
TCGA-34-8455-01,12663,69195,22051,28,778,320,301,241,8,35331,2712,7,0,0,0,1,0,0,0
TCGA-34-A5IX-01,5633,63025,49075,223,79,151,133,245,11,189483,4636,13,136,3,0,0,0,1,1
TCGA-37-3783-01,11824,82655,24854,22,87,712,710,120,4,18975,1733,98,5,0,0,0,0,1,0
TCGA-37-3792-01,3364,2595,8487,66,1284,10,15,126,0,17991,1139,36,134,0,0,42,0,0,3
TCGA-37-4130-01,1574,57,5857,10,6,22,16,111,2,13995,270,17,1,0,0,15874,0,2756,2294
TCGA-37-4133-01,4368,44074,65392,101,208,80,82,225,13,102530,253,22,5,0,0,5,0,1,0
TCGA-37-4135-01,11375,4375,35700,64,127,69,56,128,21,76451,267,14,1,0,0,3,0,1,0
TCGA-37-5819-01,6191,716,50482,90,82,15,15,28,57,53519,319,69,0,0,0,0,0,0,3
TCGA-37-A5EL-01,15736,25271,18480,131,79,99,109,191,1,76590,1302,29,13,0,0,0,0,1,0
TCGA-37-A5EM-01,3145,42083,65987,145,75,31,31,93,12,200703,1241,23,24,0,0,0,0,2,0
TCGA-37-A5EN-01,4052,43562,32368,107,10,140,150,275,17,91286,1891,15,2,1,31,3,0,0,0
TCGA-39-5011-01,4729,9335,57239,104,127,35,41,224,17,82409,954,147,49,0,0,0,0,0,0
TCGA-39-5019-01,4352,40635,160782,164,26,712,670,1220,8,185229,1595,48,5,1,0,1,0,0,1
TCGA-39-5021-01,1780,8478,23229,37,25,13,15,61,7,24023,260,12,0,0,1,0,0,0,0
TCGA-39-5028-01,2955,24775,9918,17,263,27,38,117,2,16932,381,9,3,0,0,0,0,0,0
TCGA-39-5029-01,4589,6946,19161,26,95,91,86,78,6,27537,497,8,0,0,0,0,0,0,3
TCGA-39-5030-01,1438,19107,25354,73,29,27,29,81,1,59525,373,21,0,0,9,0,0,0,0
TCGA-39-5031-01,4229,7191,48981,67,30,91,97,209,25,57484,1787,19,2,0,12,1,0,2,0
TCGA-39-5034-01,2074,156,20471,37,37,28,28,123,12,29887,124,22,0,0,0,0,0,0,0
TCGA-39-5035-01,1638,13685,50281,178,2093,154,137,287,3,144279,525,21,0,0,0,0,0,0,0
TCGA-39-5036-01,4913,13857,24268,36,63,56,50,165,15,37157,637,4,0,6,0,0,1,1,0
TCGA-39-5037-01,4249,41355,17025,72,5,244,226,591,40,21368,566,7,0,1,1,0,1,0,0
TCGA-39-5039-01,1985,11962,10658,17,141,41,36,61,3,19070,901,4,5,0,0,0,0,0,0
TCGA-43-2576-01,4017,784,35827,68,45,31,33,207,3,63634,482,23,11,2,0,30,0,0,24
TCGA-43-2578-01,5294,8513,218260,204,284,62,46,249,66,165140,1680,31,4,0,0,0,0,3,1
TCGA-43-2581-01,1418,55,39627,62,53,35,51,217,15,56271,790,28,4,0,0,11,1,2,0
TCGA-43-3394-01,37097,30854,90247,465,25,40,38,169,14,150798,1378,57,7,0,2,0,0,0,2
TCGA-43-3920-01,6303,12649,13884,33,73,14,15,106,11,19203,146,40,18,0,0,0,0,0,0
TCGA-43-5668-01,3510,214,22626,75,2,102,85,158,19,50156,35096,87,43,0,0,3,0,0,1
TCGA-43-6143-01,7262,88930,118923,109,330,543,533,1394,33,157348,332,44,0,0,68,0,0,0,0
TCGA-43-6647-01,1513,48379,104969,53,12,102,127,174,8,123556,780,12,12,0,0,1,0,0,0
TCGA-43-6770-01,3107,46480,96790,31,8,93,100,186,19,95938,209,11,2,1,141,0,0,0,0
TCGA-43-6771-01,5126,115854,14794,15,1,239,239,251,1,31828,361,22,3,1,0,2,0,0,0
TCGA-43-7656-01,4592,42031,27967,98,29,182,133,153,13,50629,528,25,3,0,0,0,0,0,0
TCGA-43-7658-01,13156,1030,16194,103,49,318,314,644,17,40341,1841,8,1,0,0,0,1,0,0
TCGA-43-8115-01,8948,25055,76310,194,77,876,907,1903,48,121432,1348,105,10,1902,1,0,0,0,0
TCGA-43-8116-01,6838,87966,37762,110,21,126,153,144,15,61822,1013,19,4,1,3,0,1,0,0
TCGA-43-8118-01,16151,24106,23337,39,11,154,169,205,15,30242,3935,22,1,0,0,0,1,1,0
TCGA-43-A474-01,14281,110623,108217,226,429,229,223,599,36,180922,2392,32,28,0,0,0,0,0,0
TCGA-43-A475-01,3868,64395,12044,50,47,492,417,1088,11,28953,2249,47,0,0,2,0,7,0,0
TCGA-43-A56U-01,8701,24032,41788,162,69,780,718,1626,24,90930,2689,21,54,2,0,1,1,0,1
TCGA-46-3765-01,7770,7423,6802,15,5,5,11,64,20,8573,130,16,0,0,0,0,0,0,0
TCGA-46-3766-01,2844,3976,6379,12,50,4,6,42,0,11847,374,23,2,0,0,1,0,0,0
TCGA-46-3767-01,1585,4006,8856,8,11,11,6,54,1,20541,300,10,1,0,0,0,0,0,0
TCGA-46-3768-01,4191,11437,71403,136,5,17,14,103,13,67823,308,47,0,0,2,0,0,0,0
TCGA-46-3769-01,821,2845,6419,59,237,8,11,98,5,13683,336,67,25,0,0,1,0,0,1
TCGA-46-6025-01,3049,53736,36102,58,546,88,69,179,8,52563,347,8,29,0,4,1,0,0,0
TCGA-46-6026-01,5355,94627,93889,154,15,240,245,279,9,248493,212,8,0,1,0,2,4,1,0
TCGA-51-4079-01,6881,16111,27714,54,129,40,44,245,3,56319,567,9,0,0,0,0,1,0,0
TCGA-51-4080-01,3225,29208,149817,205,45,100,106,703,28,203743,637,14,0,0,20,0,5,1,0
TCGA-51-4081-01,3585,13559,44542,59,8,33,40,113,8,61321,264,9,0,0,1,0,0,1,0
TCGA-51-6867-01,16103,142236,65386,134,35,867,946,1477,39,83115,2939,16,3,1,12,0,0,0,0
TCGA-52-7622-01,7717,42815,47117,109,344,374,360,818,9,69607,5481,11,0,0,2,0,1,0,0
TCGA-52-7810-01,11287,252127,73578,127,130,715,709,1140,57,87156,1212,57,13,1,0,1,0,0,1
TCGA-52-7811-01,14669,44884,19314,40,628,197,193,305,25,24380,3242,26,22,0,0,3,3,0,2
TCGA-52-7812-01,14546,1328,47900,166,7,587,547,927,13,90384,1965,40,6,0,0,8,0,0,3
TCGA-56-1622-01,5014,31091,50556,88,113,43,55,188,53,66450,241,32,0,0,0,0,0,1,0
TCGA-56-5897-01,8222,18571,13394,18,123,20,22,47,7,22497,524,64,2,0,0,0,0,0,0
TCGA-56-5898-01,9268,44514,27532,97,47,320,317,475,13,53113,1440,47,1,0,0,0,1,0,0
TCGA-56-6545-01,1114,30248,20786,14,68,104,87,226,2,43372,468,47,0,1,0,1,0,0,0
TCGA-56-6546-01,1694,7473,95386,105,12,265,255,761,4,106802,1472,29,0,1,5,331,0,0,27
TCGA-56-7221-01,15307,93393,96925,267,19,421,454,576,17,194682,2185,11,0,0,1,1,9,1,0
TCGA-56-7222-01,12364,72814,114507,190,416,181,179,346,39,167404,2542,14,0,0,3,0,7,0,0
TCGA-56-7223-01,13240,8466,121492,236,122,81,100,82,41,161189,2405,48,5,0,142,0,1,0,1
TCGA-56-7579-01,8242,199597,100439,303,93,127,107,110,66,167790,2259,31,5,4,0,0,0,0,1
TCGA-56-7582-01,7204,55978,52168,129,63,124,129,180,4,91682,549,13,1,1,0,1,0,0,0
TCGA-56-7822-01,11295,81841,14487,35,578,62,56,80,5,23643,1168,9,17,0,1,0,0,0,0
TCGA-56-8201-01,2559,22845,11650,28,52,79,80,124,49,17299,1364,34,2,0,1,0,0,0,0
TCGA-56-8304-01,14941,43449,36534,72,292,445,526,922,26,38290,851,6,5,0,0,0,0,0,0
TCGA-56-8305-01,28090,91716,62852,155,6,200,173,346,34,124674,1661,28,6,1,1,15,0,0,25
TCGA-56-8307-01,3596,95011,264963,497,1,48,44,112,38,460743,1021,26,0,0,14,1,1,0,1
TCGA-56-8308-01,1925,18517,19492,25,17,254,251,318,7,26446,218,2,0,2,0,0,0,0,0
TCGA-56-8309-01,2917,19690,19813,45,10,84,93,124,2,47001,654,9,9,1,0,0,0,0,0
TCGA-56-8503-01,4961,32022,14870,14,170,79,86,81,6,19805,2171,33,1,0,0,2,0,0,1
TCGA-56-8504-01,7688,33130,39641,28,53,292,294,602,22,35041,1095,22,0,0,0,0,0,0,0
TCGA-56-8622-01,6825,97116,29636,60,85,102,122,111,5,58654,1243,2,2,1,0,0,3,0,0
TCGA-56-8623-01,202,1331,9762,3,6,2749,2759,1389,3,21801,6118,4,0,1,0,0,0,0,0
TCGA-56-8624-01,4816,45369,10979,44,306,228,215,280,2,32365,2014,5,5,0,0,1,6,0,0
TCGA-56-8625-01,24845,7211,39823,76,51,107,113,115,32,59553,1736,62,1,0,0,0,0,3,2
TCGA-56-8626-01,8048,97332,30135,95,379,1398,1488,1820,8,57531,3242,23,35,2,1,1,1,0,20
TCGA-56-8628-01,6979,60803,79945,120,86,511,507,537,42,138713,3613,17,0,4,0,1,17,0,1
TCGA-56-8629-01,8641,54493,52747,85,79,185,200,300,17,71669,1675,38,116,1,0,2,0,0,6
TCGA-56-A4BW-01,3995,52629,12261,27,42,122,114,150,11,30236,1670,10,37,0,0,0,0,0,0
TCGA-56-A4BX-01,14291,59100,78236,220,17,93,95,203,21,162688,593,15,1,0,0,0,0,0,0
TCGA-56-A4BY-01,20565,96002,95526,218,218,728,698,1515,18,182803,2803,35,9,3,2,1,0,0,0
TCGA-56-A4ZJ-01,4582,31546,21482,109,306,555,540,734,6,68297,7372,74,10,1,0,0,2,0,0
TCGA-56-A4ZK-01,20711,77094,40234,92,92,114,113,175,9,75573,1407,29,3,0,0,0,0,0,0
TCGA-56-A5DR-01,2698,33773,55882,158,340,83,84,218,5,247413,1602,19,3,0,0,0,0,0,0
TCGA-56-A62T-01,10213,76023,158470,249,1426,354,354,925,24,205232,2938,54,60,6,17,0,0,222,0
TCGA-58-8386-01,4945,28000,20359,70,459,974,1033,1726,4,36491,4573,15,7,1,0,0,0,0,0
TCGA-58-8387-01,5735,21872,31214,52,7,52,53,66,28,30884,823,17,0,1,7,2,0,0,0
TCGA-58-8388-01,9916,57198,26354,75,68,113,134,234,13,63066,1647,14,0,1,9,0,1,0,1
TCGA-58-8390-01,10991,175790,149287,493,9,1508,1485,1545,29,381815,2943,66,5,0,0,0,1,0,0
TCGA-58-8391-01,4938,97640,76875,169,2,53,51,107,14,99688,1512,19,13,0,0,0,0,0,0
TCGA-58-8392-01,23910,65234,136515,127,2,363,341,676,41,133007,2161,53,3,0,11,0,0,0,0
TCGA-58-8393-01,10166,64393,34239,22,354,225,268,487,7,44923,2042,27,1,0,0,0,0,0,0
TCGA-58-A46J-01,7157,51439,58972,75,126,314,338,353,15,88789,6828,38,0,0,1,2,2,0,0
TCGA-58-A46K-01,9520,59349,127588,303,217,77,69,135,25,217504,857,26,0,0,4,1,5,0,2
TCGA-58-A46L-01,13554,49152,60458,121,8,51,55,84,7,98520,1618,38,0,0,0,0,1,0,0
TCGA-58-A46M-01,12490,41617,55306,251,69,25,26,90,7,140858,1369,42,2,0,15,0,31,0,0
TCGA-58-A46N-01,8798,83576,112815,284,237,224,230,687,14,163047,532,21,0,0,0,1,0,2,1
TCGA-60-2695-01,7774,1482,69419,211,19,80,84,384,49,142041,422,11,3,0,0,0,2,0,0
TCGA-60-2696-01,1256,20444,11344,28,216,134,127,604,5,22157,1234,7,6,0,0,0,0,0,0
TCGA-60-2697-01,637,1707,16798,35,7,253,247,411,4,33079,5195,7,2,4,0,0,0,0,0
TCGA-60-2698-01,2251,5702,33830,57,406,337,353,1958,1,53988,3219,43,4,0,0,2,0,0,0
TCGA-60-2703-01,4497,43455,24821,20,66,804,816,1060,18,25871,2245,11,11,2,0,0,0,0,0
TCGA-60-2704-01,14941,20232,33518,62,20,343,315,464,10,60687,3171,32,10,0,13,0,0,0,0
TCGA-60-2706-01,2564,3170,39471,74,266,59,72,441,5,41055,627,17,0,0,0,0,0,0,0
TCGA-60-2708-01,7983,28712,56578,94,143,36,41,112,12,67920,430,57,29,0,0,0,0,0,0
TCGA-60-2710-01,5371,14563,39887,81,1,54,45,240,15,74140,953,11,0,0,1,0,0,0,0
TCGA-60-2711-01,8108,15364,61871,122,18,54,56,262,19,93673,461,24,0,0,0,0,0,0,0
TCGA-60-2712-01,3122,12004,6359,21,4,17,12,56,4,16543,384,21,0,0,1,16,0,2,2
TCGA-60-2713-01,7083,8736,21421,50,27,16,13,49,7,41910,186,11,4,0,3,1,0,0,0
TCGA-60-2714-01,6761,194,25511,53,5,91,87,388,11,45357,697,8,20,0,0,189,1,0,51
TCGA-60-2716-01,1498,61964,17920,73,284,22,23,109,1,49831,330,2,0,0,0,0,0,1,0
TCGA-60-2719-01,7034,18280,55902,80,17,68,58,356,38,62291,871,40,0,0,0,0,0,0,0
TCGA-60-2720-01,2797,18523,36503,80,272,261,252,1371,7,69092,2868,33,29,2,0,1,0,0,0
TCGA-60-2721-01,3889,38414,43227,86,15,18,23,107,8,85338,531,12,0,0,0,1,0,1,0
TCGA-60-2722-01,11703,59340,60576,108,4,25,24,180,8,83456,409,7,0,2,0,0,4,0,0
TCGA-60-2723-01,3609,21072,71815,71,60,40,46,206,17,69813,1022,19,0,1,20,13,0,3,7
TCGA-60-2724-01,3446,17993,22362,16,194,18,17,103,24,18295,805,18,38,0,1,0,0,0,0
TCGA-60-2725-01,1973,22758,39142,74,13,169,139,511,3,44529,1098,16,2,0,1,0,0,0,0
TCGA-63-5128-01,9349,18898,46461,51,6,51,69,186,7,60644,314,3,0,0,0,0,0,0,0
TCGA-63-5131-01,3228,23957,19581,24,3,7,8,32,4,22463,433,0,1,0,0,0,0,0,0
TCGA-63-6202-01,2928,237,160238,83,12,1179,1179,4025,15,193108,720,56,11,1,0,565,0,0,16
TCGA-63-7020-01,36465,105966,145522,371,2839,766,701,1709,19,269834,4468,71,3,8,0,2,2,2,0
TCGA-63-7021-01,12479,160082,64749,135,12,416,400,620,27,87045,1458,22,4,1,0,0,0,0,0
TCGA-63-7022-01,19921,50759,65775,75,168,376,342,406,27,103185,1761,69,4,4,0,4,0,41,0
TCGA-63-A5M9-01,4596,29774,30042,111,116,30,29,96,14,80393,1232,11,8,0,90,0,1,0,0
TCGA-63-A5MB-01,8501,43309,88005,299,10,403,422,1054,19,240072,2690,24,0,0,2,0,1,17,0
TCGA-63-A5MG-01,5336,47660,39448,112,319,128,165,393,3,145403,5460,14,103,22,1,2,0,0,0
TCGA-63-A5MH-01,15652,96365,64946,248,80,622,607,2210,20,234282,2142,121,21,0,2,0,0,5,0
TCGA-63-A5MI-01,4344,40239,54423,95,43,61,51,210,15,148982,2482,47,10,0,16,0,0,0,0
TCGA-63-A5MJ-01,3052,30624,40165,168,10,176,187,618,2,169651,1087,14,2,0,0,0,0,0,0
TCGA-63-A5ML-01,3883,44392,69955,209,72,19,14,44,14,251880,2286,5,3,0,0,0,1,0,0
TCGA-63-A5MM-01,7602,54420,8621,43,912,1827,1906,1590,3,31838,4425,198,2,15,0,1,0,0,1
TCGA-63-A5MP-01,3444,57036,57202,150,34,207,178,456,48,103762,4072,61,0,3,13,0,2,0,0
TCGA-63-A5MR-01,18116,87406,16698,81,1623,79,85,120,12,66501,4163,17,5,1,0,1,0,0,0
TCGA-63-A5MS-01,6939,49085,17345,51,125,379,415,1043,13,40373,4430,38,3,0,0,1,0,0,0
TCGA-63-A5MT-01,2558,116607,21897,57,371,40,54,77,8,55721,2938,20,1,0,0,2,0,0,1
TCGA-63-A5MU-01,16986,114754,66102,285,1305,235,215,396,7,141166,833,14,1,0,0,0,0,0,0
TCGA-63-A5MV-01,12500,77424,20661,81,54,179,190,233,39,46550,1815,38,84,1,0,0,0,0,0
TCGA-63-A5MW-01,6123,51640,47374,295,938,76,56,193,33,136727,1715,69,44,0,125,0,0,1,0
TCGA-63-A5MY-01,17241,110095,191425,473,0,92,108,272,18,358916,815,26,0,0,0,0,0,1,2
TCGA-66-2727-01,2169,19879,50270,90,101,24,25,252,20,62779,639,33,2,0,0,0,1,0,0
TCGA-66-2734-01,6423,10846,11801,34,275,7,11,19,3,16924,438,31,9,0,0,0,0,0,0
TCGA-66-2737-01,7959,16331,35008,64,9,21,22,77,4,48513,290,50,0,0,32,0,0,0,0
TCGA-66-2742-01,5708,5612,12061,23,6,40,46,261,4,15574,169,8,27,0,0,0,0,0,0
TCGA-66-2744-01,4848,10162,12932,43,654,44,59,223,17,20044,828,219,1,1,1,2,0,0,0
TCGA-66-2754-01,3590,109,22146,66,26,19,15,82,40,22415,43,4,6,1,0,0,0,0,0
TCGA-66-2755-01,2803,16823,8438,12,24,16,17,74,4,10823,583,14,0,0,11,12,0,11,1
TCGA-66-2759-01,14180,57341,32461,40,6,35,30,87,6,36293,382,14,0,0,0,0,0,0,0
TCGA-66-2763-01,4486,22682,24148,37,149,23,35,132,12,31814,685,57,0,0,0,0,0,0,0
TCGA-66-2765-01,10842,19638,10624,49,160,40,33,105,11,25044,539,12,0,0,0,0,0,0,0
TCGA-66-2766-01,7728,27498,72819,104,73,29,24,232,16,117536,357,26,0,0,1,0,0,0,0
TCGA-66-2767-01,2643,17149,26011,68,22,141,131,803,7,55814,1845,15,0,0,0,0,0,0,0
TCGA-66-2768-01,4171,39612,19256,31,829,111,103,448,23,27689,1714,22,1,0,0,1,0,0,0
TCGA-66-2770-01,4894,20032,10948,20,65,37,30,100,2,20788,544,14,0,0,0,8,1,0,0
TCGA-66-2771-01,3504,13483,4356,18,2,23,23,159,3,7092,521,21,0,0,0,0,0,0,0
TCGA-66-2777-01,4724,19363,25768,53,102,106,91,618,9,30954,1375,20,1,0,0,0,1,0,2
TCGA-66-2780-01,4879,24418,32224,44,16,45,45,110,3,60524,747,7,26,0,0,0,0,0,0
TCGA-66-2781-01,3022,33523,48645,54,8,172,203,890,12,60514,1154,11,2,0,0,0,0,0,0
TCGA-66-2782-01,2078,40521,60275,127,990,22,23,66,11,105656,883,14,26,0,0,0,0,0,0
TCGA-66-2783-01,9955,43130,19470,69,20,57,65,327,2,42202,334,7,0,1,0,1,0,0,0
TCGA-66-2785-01,2936,16633,60496,163,3,17,22,112,5,109660,2360,51,0,0,0,0,0,0,1
TCGA-66-2786-01,5911,13769,25003,55,232,61,49,183,5,58558,1045,18,4,0,0,0,1,0,0
TCGA-66-2787-01,3734,10107,41341,97,11,45,50,212,4,36876,129,29,0,1,1,0,0,0,0
TCGA-66-2788-01,7872,21524,17827,75,630,29,26,150,17,26735,430,62,8,0,0,0,0,0,0
TCGA-66-2789-01,3028,32407,42124,88,78,40,53,283,11,59102,781,61,0,0,0,0,0,0,0
TCGA-66-2790-01,5279,20424,18440,59,79,48,52,421,11,27569,740,39,5,0,1,26,0,0,18
TCGA-66-2791-01,3703,9082,14099,48,55,8,9,50,7,21573,165,12,1,0,1,0,4,0,0
TCGA-66-2792-01,8517,10596,28239,52,85,25,26,182,27,25541,153,105,2,0,0,1,0,0,0
TCGA-66-2793-01,3171,22079,90592,100,4,52,47,307,28,105772,431,14,6,0,0,0,0,0,0
TCGA-66-2794-01,2335,17300,45629,110,6,43,39,407,10,88985,454,25,0,0,1,1,0,1,0
TCGA-66-2800-01,3182,11412,23015,6,12,553,574,348,3,18366,508,25,0,0,7,0,0,0,0
TCGA-68-7755-01,15902,37034,35271,60,13,346,340,381,5,42176,511,28,0,2,0,2,1,0,2
TCGA-68-7756-01,15857,42759,52785,94,994,138,165,252,4,92926,1988,17,0,1,0,2,1,0,0
TCGA-68-7757-01,5541,44578,108560,227,259,158,170,285,3,205136,1380,79,1,0,0,0,0,0,0
